customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
C100000,Female,0,No,Yes,26,Yes,108.69,2797.46,Two year,Credit card,No
C100001,Male,0,No,Yes,26,Yes,21.64,536.02,Month-to-month,Bank transfer,Yes
C100002,Female,1,No,No,27,Yes,18.0,471.64,Month-to-month,Electronic check,No
C100003,Female,0,Yes,No,23,Yes,92.22,2119.42,One year,Electronic check,No
C100004,Female,1,Yes,No,25,Yes,60.06,1537.92,Two year,Bank transfer,No
C100005,Male,0,Yes,Yes,33,Yes,121.52,4006.8,Month-to-month,Mailed check,No
C100006,Female,0,Yes,Yes,18,Yes,101.28,1780.37,Month-to-month,Bank transfer,No
C100007,Female,0,No,Yes,19,Yes,87.66,1623.53,Month-to-month,Electronic check,No
C100008,Female,0,No,No,25,Yes,55.4,1326.24,Month-to-month,Bank transfer,No
C100009,Male,0,Yes,Yes,25,Yes,90.28,2251.65,One year,Bank transfer,No
C100010,Female,0,Yes,No,17,Yes,58.11,1039.56,Month-to-month,Bank transfer,No
C100011,Female,0,Yes,No,13,Yes,71.79,954.29,Two year,Credit card,No
C100012,Female,0,No,No,29,Yes,60.21,1774.26,Month-to-month,Electronic check,No
C100013,Female,0,No,Yes,25,Yes,77.77,1890.04,Month-to-month,Bank transfer,No
C100014,Male,0,No,Yes,29,No,62.47,1752.99,Month-to-month,Credit card,Yes
C100015,Female,0,No,No,19,Yes,100.02,1909.3,Month-to-month,Mailed check,No
C100016,Male,0,No,No,18,Yes,83.58,1566.76,Two year,Credit card,No
C100017,Male,0,No,No,29,Yes,54.72,1629.12,Month-to-month,Bank transfer,No
C100018,Male,0,Yes,No,23,Yes,56.58,1267.66,Month-to-month,Bank transfer,No
C100019,Female,1,No,No,18,Yes,31.9,688.76,Month-to-month,Bank transfer,No
C100020,Male,0,Yes,Yes,24,Yes,18.0,330.51,One year,Bank transfer,No
C100021,Female,0,No,Yes,16,Yes,97.98,1569.13,Month-to-month,Credit card,No
C100022,Male,1,Yes,No,23,Yes,59.32,1369.5,Month-to-month,Credit card,Yes
C100023,Male,0,No,No,19,Yes,33.48,625.66,Month-to-month,Electronic check,Yes
C100024,Male,1,Yes,Yes,19,Yes,83.33,1609.55,Month-to-month,Bank transfer,Yes
C100025,Male,0,No,No,27,Yes,48.36,1295.61,Month-to-month,Electronic check,No
C100026,Male,0,Yes,No,21,No,67.92,1351.55,Month-to-month,Electronic check,No
C100027,Male,0,No,No,28,Yes,31.23,870.01,Month-to-month,Mailed check,Yes
C100028,Male,0,No,Yes,26,Yes,89.47,2334.45,One year,Bank transfer,No
C100029,Male,0,Yes,Yes,26,Yes,72.64,1934.22,Two year,Electronic check,No
C100030,Female,0,No,No,26,No,84.99,2280.62,Month-to-month,Credit card,No
C100031,Female,0,No,No,24,Yes,57.17,1329.31,One year,Electronic check,No
C100032,Male,0,Yes,No,26,No,77.41,2096.27,Month-to-month,Electronic check,Yes
C100033,Male,0,No,No,15,Yes,26.34,373.69,Month-to-month,Bank transfer,No
C100034,Male,0,No,No,23,Yes,138.24,3153.99,Month-to-month,Bank transfer,No
C100035,Female,0,No,No,26,Yes,82.44,2122.89,One year,Mailed check,No
C100036,Male,0,Yes,Yes,27,Yes,121.22,3175.38,Month-to-month,Credit card,Yes
C100037,Female,1,No,No,17,No,62.02,1033.21,Two year,Electronic check,No
C100038,Female,0,No,No,37,Yes,38.5,1490.05,One year,Electronic check,No
C100039,Female,1,No,No,32,Yes,55.25,1791.87,Month-to-month,Mailed check,Yes
C100040,Female,0,No,No,25,Yes,68.69,1728.63,One year,Mailed check,No
C100041,Female,0,Yes,No,28,Yes,66.5,1879.54,Month-to-month,Mailed check,No
C100042,Male,0,Yes,No,27,Yes,125.85,3461.02,One year,Electronic check,Yes
C100043,Male,0,No,Yes,24,Yes,44.33,1020.02,Month-to-month,Credit card,No
C100044,Male,0,No,Yes,18,Yes,51.86,978.67,Month-to-month,Mailed check,No
C100045,Male,0,No,Yes,30,Yes,91.39,2745.03,One year,Credit card,No
C100046,Male,0,Yes,Yes,22,Yes,22.4,453.61,One year,Credit card,No
C100047,Female,0,No,No,30,Yes,68.78,2086.58,One year,Bank transfer,No
C100048,Male,0,Yes,No,30,Yes,74.25,2231.69,Month-to-month,Mailed check,No
C100049,Male,0,No,No,20,Yes,83.0,1619.66,Month-to-month,Credit card,No
C100050,Female,0,No,No,23,Yes,80.47,1797.33,Two year,Electronic check,No
C100051,Male,0,No,No,18,Yes,129.63,2311.6,Month-to-month,Bank transfer,Yes
C100052,Female,0,Yes,No,26,Yes,43.46,1104.41,Month-to-month,Electronic check,No
C100053,Male,0,No,Yes,24,Yes,50.67,1277.13,Two year,Mailed check,No
C100054,Female,0,No,No,27,Yes,88.28,2372.85,Month-to-month,Mailed check,No
C100055,Male,0,No,Yes,26,Yes,76.79,1977.89,One year,Credit card,No
C100056,Male,0,Yes,No,21,Yes,80.54,1747.78,Month-to-month,Mailed check,Yes
C100057,Female,0,No,No,27,Yes,27.85,819.43,Month-to-month,Mailed check,No
C100058,Female,0,Yes,No,26,Yes,135.43,3479.61,One year,Bank transfer,No
C100059,Female,0,No,Yes,30,No,83.55,2444.31,Month-to-month,Credit card,No
C100060,Female,1,Yes,Yes,25,Yes,22.54,589.26,One year,Credit card,No
C100061,Female,1,Yes,No,18,Yes,88.34,1579.75,Month-to-month,Bank transfer,No
C100062,Female,0,Yes,No,37,Yes,36.9,1338.04,Month-to-month,Credit card,No
C100063,Female,0,Yes,Yes,14,Yes,97.87,1422.1,Two year,Electronic check,No
C100064,Female,0,Yes,No,22,Yes,30.53,658.63,One year,Electronic check,No
C100065,Male,0,No,Yes,31,Yes,100.18,3201.49,Month-to-month,Bank transfer,No
C100066,Male,0,Yes,No,22,Yes,33.38,736.74,Month-to-month,Credit card,Yes
C100067,Female,0,No,No,27,Yes,40.77,1109.0,Month-to-month,Electronic check,No
C100068,Male,1,Yes,No,20,Yes,74.13,1594.59,Month-to-month,Electronic check,Yes
C100069,Male,0,No,No,28,Yes,51.65,1461.68,Month-to-month,Mailed check,No
C100070,Male,0,No,Yes,24,No,53.37,1245.57,Month-to-month,Electronic check,Yes
C100071,Male,0,Yes,Yes,29,Yes,24.11,648.17,Month-to-month,Credit card,No
C100072,Female,0,No,No,30,Yes,60.11,1780.2,Month-to-month,Credit card,No
C100073,Male,0,Yes,Yes,26,No,96.52,2521.32,Month-to-month,Electronic check,No
C100074,Female,1,No,No,20,Yes,126.35,2572.55,Month-to-month,Mailed check,Yes
C100075,Male,0,No,No,20,Yes,94.83,1821.39,One year,Mailed check,No
C100076,Male,0,Yes,No,21,Yes,90.54,1901.5,Month-to-month,Electronic check,No
C100077,Male,0,Yes,No,31,No,19.34,663.48,Month-to-month,Bank transfer,No
C100078,Female,0,Yes,No,20,Yes,69.14,1395.91,One year,Electronic check,No
C100079,Male,0,Yes,No,26,Yes,50.45,1379.49,Two year,Electronic check,No
C100080,Female,0,No,No,22,Yes,24.68,467.56,Month-to-month,Credit card,No
C100081,Male,0,No,No,28,Yes,31.84,880.19,One year,Bank transfer,No
C100082,Female,0,Yes,No,18,Yes,90.04,1626.74,Month-to-month,Credit card,Yes
C100083,Male,0,Yes,No,21,Yes,53.28,1146.54,Month-to-month,Mailed check,No
C100084,Female,0,Yes,No,26,No,25.75,626.93,Month-to-month,Electronic check,Yes
C100085,Female,0,Yes,No,19,Yes,50.91,988.09,One year,Mailed check,No
C100086,Male,0,No,No,20,Yes,78.68,1598.3,Two year,Electronic check,No
C100087,Female,0,Yes,No,26,Yes,49.77,1290.34,Month-to-month,Bank transfer,Yes
C100088,Male,0,No,No,25,Yes,33.7,866.0,Month-to-month,Electronic check,Yes
C100089,Male,0,Yes,No,20,Yes,42.39,863.62,Month-to-month,Bank transfer,Yes
C100090,Male,0,Yes,No,15,Yes,96.53,1415.03,Two year,Bank transfer,No
C100091,Male,0,No,No,26,Yes,18.0,460.09,One year,Bank transfer,No
C100092,Male,0,No,No,28,Yes,61.96,1672.43,Month-to-month,Credit card,Yes
